email,first_name,last_name,display_name
adam.hoffman@fantasy.league,Adam,Hoffman,Adam Hoffman
allan.miller@fantasy.league,Allan,Miller,Allan Miller
broc.williams@fantasy.league,Broc,Williams,Broc Williams
dustin.chilson@fantasy.league,Dustin,Chilson,Dustin Chilson
dylan.nuzzo@fantasy.league,Dylan,Nuzzo,Dylan Nuzzo
eric.gillis@fantasy.league,Eric,Gillis,Eric Gillis
josh.bozym@fantasy.leage,Josh,Bozym,Josh Bozym
justin.mann@fantasy.league,Justin,Mann,Justin Mann
tom.talty@fantasy.league,Tom,Talty,Tom Talty
zac.meso@fantasy.league,Zac,Meso,Zac Meso
